no_pile,diameter,length,nspt1,nspt2,nspt3,qh,yh,bm,qa,sa
1,30,10,10,20,30,5,1.8,4.7,25,0.18
2,30,20,10,20,30,5.2,1.96,5,30,0.27
3,30,30,10,20,30,5.2,1.9,5.2,32,0.29
4,30,40,10,20,30,5.1,1.96,5,88,1.4
5,30,50,10,20,30,5.1,1.98,5,112,1.99
6,40,10,10,20,30,9,1.92,10.2,51,0.34
7,40,20,10,20,30,9.1,1.96,10.4,69,0.38
8,40,30,10,20,30,9,1.94,10.3,114,0.85
9,40,40,10,20,30,9,1.97,10.4,152,1.38
10,40,50,10,20,30,9,1.9,10.4,150,1.4
11,50,10,10,20,30,14,1.9,18.4,84,0.5
12,50,20,10,20,30,14.2,1.99,18.7,86,0.29
13,50,30,10,20,30,14,1.96,18.5,151,0.74
14,50,40,10,20,30,14,1.98,18.5,188,1.06
15,50,50,10,20,30,13,1.8,17.1,170,1.4
16,60,10,10,20,30,20,1.93,29.5,115,0.62
17,60,20,10,20,30,20.2,1.97,29.9,140,0.5
18,60,30,10,20,30,20,1.95,29.7,196,0.73
19,60,40,10,20,30,20,1.95,29.8,294,1.37
20,60,50,10,20,30,20,1.99,29.8,175,1.45
21,70,10,10,20,30,26,1.8,41.8,150,0.75
22,70,20,10,20,30,27,1.92,43.9,220,0.72
23,70,30,10,20,30,27,1.93,44,265,0.83
24,70,40,10,20,30,27,1.94,44,337,1.18
25,70,50,10,20,30,27,1.9,44.3,260,0.8
26,80,10,10,20,30,30,1.99,48.4,185,0.89
27,80,20,10,20,30,36,1.98,64,299,0.88
28,80,30,10,20,30,36,1.99,64.1,381,1.16
29,80,40,10,20,30,35.7,1.97,63.8,442,1.37
30,80,50,10,20,30,35,1.92,62.3,300,0.76
31,90,10,10,20,30,45,1.8,86.5,235,1.01
32,90,20,10,20,30,46,2,88.4,390,1.1
33,90,30,10,20,30,45,1.93,86.2,495,1.38
34,90,40,10,20,30,45,1.94,86.3,565,1.55
35,90,50,10,20,30,45,1.95,86.8,627,1.9
36,100,10,10,20,30,55,1.8,11.4,285,1.15
37,100,20,10,20,30,56,1.93,11.5,569,1.54
38,100,30,10,20,30,56,1.94,11.5,632,1.62
39,100,40,10,20,30,56,1.94,11.5,748,1.99
40,100,50,10,20,30,56,1.96,115,740,1.96
41,30,10,20,30,40,6,1.9,5.4,36,0.34
42,30,20,20,30,40,6,1.91,5.4,61.7,0.49
43,30,30,20,30,40,6,1.93,5.5,84,0.88
44,30,40,20,30,40,6,1.97,5.5,223,2.8
45,30,50,20,30,40,6.9,0.68,6.3,129,1.98
46,40,10,20,30,40,10.5,1.91,11.3,67.5,0.39
47,40,20,20,30,40,10,1.78,10.7,99,0.55
48,40,30,20,30,40,10.5,1.99,11.4,130,0.89
49,40,40,20,30,40,10,1.82,10.8,161,1.34
50,40,50,20,30,40,10.6,2,11.5,216,1.99
51,50,10,20,30,40,16,1.87,19.9,111.4,0.57
52,50,20,20,30,40,16,1.87,19.9,151,0.65
53,50,30,20,30,40,16,1.88,19.9,190,0.91
54,50,40,20,30,40,16,1.9,20.1,264,1.64
55,50,50,20,30,40,16,1.93,20.3,340,1.99
56,60,10,20,30,40,23,1.87,32.2,152.5,0.68
57,60,20,20,30,40,23,1.88,32.1,218,0.86
58,60,30,20,30,40,23,1.89,32.2,267,0.99
59,60,40,20,30,40,23,1.88,32.1,285,1.2
60,60,50,20,30,40,23,1.91,32.3,339,1.99
61,70,10,20,30,40,30,1.72,45.7,199.9,0.82
62,70,20,20,30,40,32,1.98,49.4,298,1.31
63,70,30,20,30,40,32,1.93,49.9,450,1.38
64,70,40,20,30,40,32,1.93,50.2,380,1.3
65,70,50,20,30,40,32,1.97,50.4,156,1.99
66,80,10,20,30,40,40,1.77,66.8,250,0.93
67,80,20,20,30,40,42,1.95,71.1,429,1.28
68,80,30,20,30,40,41,1.88,69.3,446,1.22
69,80,40,20,30,40,40,1.81,67.3,500,1.36
70,80,50,20,30,40,43,1.97,71.6,598,1.99
71,90,10,20,30,40,50,1.7,90,310,1.07
72,90,20,20,30,40,53,1.92,96.8,573,1.53
73,90,30,20,30,40,51,1.81,92.4,643,1.76
74,90,40,20,30,40,51,1.81,92.8,650,1.65
75,90,50,20,30,40,52,1.88,95.4,708,1.99
76,100,10,20,30,40,65,1.82,128,344.7,1.03
77,100,20,20,30,40,66,1.93,129,680.3,1.52
78,100,30,20,30,40,67,1.99,132,632,1.45
79,100,40,20,30,40,66,1.95,130,841,1.99
80,100,50,20,30,40,64,1.86,126,820,1.99
